,loss,accuracy,val_loss,val_accuracy
179,0.0291586,0.9984,14.9178,0.1819
180,0.0284433,0.99844,14.9699,0.1818
181,0.0278494,0.9984,15.0189,0.1822
182,0.0271085,0.99852,15.0524,0.1821
183,0.026412,0.99856,15.1043,0.182
184,0.0260416,0.9986,15.155,0.1829
185,0.025374,0.99866,15.1954,0.1825
186,0.0247812,0.99866,15.2426,0.1822
187,0.0242705,0.9988,15.2746,0.183
188,0.0237551,0.99878,15.3372,0.183
189,0.0232788,0.99886,15.3676,0.182
190,0.022815,0.9989,15.4107,0.1829
191,0.0223486,0.99892,15.4559,0.1826
192,0.0219326,0.99898,15.4899,0.1831
193,0.0215061,0.999,15.5316,0.1833
194,0.0210808,0.99906,15.5733,0.1837
195,0.0210882,0.999,15.6117,0.1832
196,0.0204166,0.9991,15.6504,0.1838
197,0.0200033,0.99908,15.6937,0.1835
198,0.0197688,0.99912,15.7255,0.184
199,0.0193884,0.99908,15.7635,0.1834
200,0.0190596,0.99912,15.7999,0.1843
201,0.0187031,0.99916,15.844,0.1842
202,0.0184811,0.99916,15.8732,0.1846
203,0.018085,0.99918,15.907,0.1838
204,0.0178845,0.99918,15.943,0.1836
205,0.0176249,0.99916,15.9756,0.1841
206,0.0172584,0.9992,16.0164,0.1835
207,0.0170542,0.9992,16.0386,0.1839
208,0.0167426,0.99922,16.077,0.1844
209,0.0164585,0.99924,16.1108,0.184
210,0.016337,0.99922,16.1421,0.1842
211,0.0159805,0.99924,16.171,0.1842
212,0.0157893,0.99924,16.2109,0.1843
213,0.0156857,0.99928,16.2304,0.1846
214,0.0153615,0.99924,16.2623,0.1841
215,0.0151549,0.9993,16.3017,0.1837
216,0.0150143,0.9993,16.3208,0.1834
217,0.0147125,0.99928,16.3519,0.1842
218,0.0146208,0.99932,16.3856,0.1841
219,1.19593,0.82728,17.6811,0.1475
220,2.96165,0.51906,14.0849,0.1784
221,1.64994,0.63084,13.6144,0.1785
222,1.11847,0.70908,13.4812,0.1836
223,0.816108,0.76156,13.135,0.1854
224,0.622896,0.80704,12.9464,0.1832
225,0.461068,0.84954,13.0417,0.1816
226,0.375243,0.87778,13.2498,0.1838
227,0.29602,0.90322,13.1853,0.1848
228,0.239716,0.92396,13.2167,0.1837
229,0.195467,0.94292,13.3654,0.1859
230,0.146118,0.961,13.4297,0.1827
231,0.111659,0.9754,13.6677,0.1849
232,0.0810507,0.9874,13.7034,0.1839
233,0.0637998,0.99272,13.8314,0.1841
234,0.0510676,0.9955,13.9409,0.1846
235,0.0420395,0.99688,14.0475,0.1821
236,0.037145,0.99744,14.1431,0.1837
237,0.0338623,0.99806,14.2222,0.1838
238,0.0315652,0.9983,14.2749,0.1835
239,0.0295762,0.99842,14.3448,0.1836
240,0.0279131,0.99858,14.4093,0.1844
241,0.0265541,0.99866,14.4616,0.1839
242,0.0253391,0.99878,14.5232,0.1841
243,0.0242852,0.9989,14.5699,0.1837
244,0.0234083,0.99898,14.6353,0.1852
245,0.0224619,0.99908,14.6839,0.184
246,0.02167,0.99914,14.7249,0.1835
247,0.0212376,0.99918,14.7905,0.1842
248,0.0204029,0.99924,14.8259,0.1841
249,0.0197177,0.99926,14.8742,0.1841
250,0.0191719,0.9993,14.9276,0.1843
251,0.0186979,0.9993,14.9729,0.1837
252,0.0181149,0.99928,15.0101,0.1835
253,0.0176659,0.99932,15.0466,0.1842
254,0.0172533,0.99932,15.1018,0.1841
255,0.0168653,0.99932,15.1376,0.1838
256,0.0165437,0.99934,15.1838,0.1838
257,0.0161313,0.99934,15.2285,0.1838
258,0.0158283,0.99934,15.2665,0.1839
259,0.015439,0.99932,15.3036,0.1841
260,0.0150983,0.99936,15.338,0.1847
261,0.0147972,0.99936,15.3805,0.1849
262,0.0145099,0.99936,15.4123,0.1857
263,0.0142549,0.99938,15.4547,0.1844
264,0.014006,0.9994,15.4896,0.1837
265,0.013892,0.99942,15.5273,0.1847
266,0.0135046,0.99942,15.557,0.1848
267,0.013279,0.99944,15.6015,0.1848
268,0.013049,0.99944,15.6251,0.1848
269,0.0128363,0.99944,15.6656,0.185
270,0.0127158,0.99944,15.6875,0.185
271,0.0124411,0.99948,15.7183,0.1853
272,0.0122628,0.99946,15.7539,0.1853
273,0.0121238,0.99946,15.7877,0.1853
274,0.0118938,0.99948,15.8182,0.1853
275,0.0117068,0.99946,15.8531,0.1851
276,0.0116305,0.9995,15.8757,0.1855
277,0.0113986,0.9995,15.9069,0.1856
278,0.0112431,0.9995,15.928,0.1855
279,0.0110895,0.9995,15.9699,0.1855
280,0.011018,0.99948,15.9854,0.186
281,0.0108187,0.9995,16.0189,0.1859
282,0.010656,0.9995,16.0396,0.1858
283,0.0105361,0.99948,16.0732,0.186
284,0.0104085,0.9995,16.0989,0.1854
285,0.0103557,0.99948,16.1224,0.1857
286,0.0101694,0.9995,16.1501,0.1852
287,0.0100508,0.99952,16.1666,0.1855
288,0.00992281,0.99952,16.2047,0.1852
289,0.00990071,0.9995,16.225,0.1855
290,0.00972993,0.99952,16.2433,0.1853
291,0.00961502,0.9995,16.2734,0.1851
292,0.00950125,0.99952,16.2908,0.1852
293,0.00940219,0.99954,16.327,0.1849
294,0.00939235,0.99954,16.3408,0.1857
295,0.00921837,0.99954,16.3633,0.1852
296,0.00911998,0.99954,16.3909,0.1854
297,0.00902693,0.99954,16.4054,0.1854
298,0.00893413,0.99954,16.443,0.1854
299,0.00893539,0.99954,16.4559,0.1853
