,loss,accuracy,val_loss,val_accuracy
0,4.51405,0.02638,4.33812,0.0473
1,4.11764,0.07562,3.92654,0.1014
2,3.8112,0.12074,3.74038,0.1355
3,3.66923,0.14628,3.64079,0.1531
4,3.57172,0.16478,3.56365,0.1668
5,3.48041,0.17936,3.48381,0.1805
6,3.38675,0.1952,3.40083,0.1958
7,3.29824,0.21094,3.33226,0.2059
8,3.21701,0.22664,3.27635,0.2181
9,3.14092,0.24032,3.22582,0.2288
10,3.06862,0.2531,3.18399,0.2366
11,2.99995,0.26526,3.15141,0.2438
12,2.93659,0.27648,3.1372,0.248
13,2.88024,0.28794,3.12614,0.2479
14,2.82942,0.2986,3.10291,0.2569
15,2.78386,0.30722,3.08583,0.2595
16,2.74202,0.31606,3.07667,0.2621
17,2.70235,0.32388,3.07131,0.265
18,2.66406,0.33234,3.06154,0.2687
19,2.62793,0.33906,3.06337,0.2702
20,2.59237,0.3467,3.06995,0.2702
21,2.55805,0.35374,3.07207,0.2701
22,2.5243,0.36198,3.07882,0.2704
23,2.49132,0.36902,3.08308,0.2694
24,2.45904,0.3759,3.09421,0.2686
25,2.42734,0.3826,3.10367,0.2705
26,2.39651,0.38864,3.11711,0.2686
27,2.36613,0.39538,3.12496,0.2673
28,2.33604,0.401,3.14221,0.2683
29,2.306,0.40834,3.15311,0.2668
30,2.27684,0.41388,3.16784,0.2646
31,2.24783,0.41948,3.18271,0.2633
32,2.21921,0.42638,3.20655,0.261
33,2.19071,0.43264,3.2256,0.261
34,2.16293,0.4388,3.24828,0.26
35,2.13515,0.44464,3.27093,0.258
36,2.10746,0.45012,3.29368,0.2564
37,2.0798,0.45696,3.31426,0.2555
38,2.05251,0.46376,3.33405,0.2559
39,2.02567,0.46998,3.35835,0.2549
40,1.99889,0.47562,3.3885,0.2563
41,1.97212,0.48258,3.42456,0.2516
42,1.94547,0.48912,3.44584,0.253
43,1.91899,0.49638,3.48225,0.2523
44,1.89289,0.5023,3.51395,0.2518
45,1.8667,0.5098,3.54526,0.2506
46,1.84044,0.51662,3.57464,0.2491
47,1.81431,0.52364,3.6095,0.2508
48,1.78862,0.53076,3.64724,0.2498
49,1.76255,0.5384,3.68715,0.2495
50,1.73704,0.54532,3.72737,0.2469
51,1.71194,0.552,3.76526,0.2482
52,1.6863,0.55934,3.81464,0.2445
53,1.66032,0.56684,3.85688,0.2422
54,1.63498,0.57292,3.90433,0.2424
55,1.60986,0.57936,3.95056,0.2405
56,1.58373,0.5858,3.99922,0.24
57,1.55834,0.59338,4.05809,0.2381
58,1.53315,0.60086,4.1091,0.2372
59,1.50775,0.60802,4.17435,0.2382
60,1.48274,0.61526,4.23217,0.2353
61,1.45809,0.6217,4.28009,0.2355
62,1.43203,0.62948,4.34497,0.2329
63,1.40671,0.63608,4.40108,0.2315
64,1.38232,0.64188,4.47263,0.2315
65,1.35611,0.6496,4.54339,0.2305
66,1.33121,0.65684,4.60892,0.2263
67,1.30719,0.66326,4.67768,0.2267
68,1.28174,0.67136,4.75135,0.2247
69,1.25691,0.67798,4.82415,0.2235
70,1.23148,0.68594,4.89808,0.222
71,1.20831,0.6925,4.97979,0.2214
72,1.18345,0.7005,5.04526,0.2185
73,1.15873,0.7078,5.13798,0.218
74,1.13319,0.7148,5.23213,0.2174
75,1.10943,0.72156,5.3144,0.2149
76,1.08411,0.7288,5.41135,0.2138
77,1.06168,0.73498,5.50454,0.2143
78,1.03703,0.74252,5.59775,0.2111
79,1.01346,0.74926,5.67812,0.2131
80,0.990192,0.7547,5.7673,0.2121
81,0.96504,0.7629,5.86367,0.2084
82,0.946346,0.76742,5.95603,0.2062
83,0.921894,0.77426,6.05327,0.2083
84,0.903594,0.77854,6.15371,0.2075
85,0.883776,0.78374,6.31212,0.2093
86,0.859944,0.79006,6.35725,0.2068
87,0.843943,0.79352,6.45524,0.2013
88,0.829514,0.79542,6.54169,0.2052
89,0.811529,0.7987,6.66581,0.2008
90,0.791093,0.80494,6.74944,0.2017
91,0.772041,0.81002,7.14818,0.1981
92,0.753703,0.8143,6.96681,0.2001
93,0.746282,0.81462,7.08713,0.1982
94,0.739884,0.812,7.17671,0.2027
95,0.733903,0.81084,7.23662,0.1999
96,0.713829,0.8169,7.33187,0.1984
97,0.713046,0.81292,7.5271,0.1992
98,0.693528,0.81814,7.5871,0.1984
99,0.677801,0.82168,7.65543,0.1995
100,0.669516,0.82316,7.85837,0.1926
101,0.63312,0.8353,7.91639,0.1962
102,0.621518,0.8388,8.01865,0.1945
103,0.591591,0.84926,8.11593,0.1987
104,0.574562,0.85504,8.1356,0.1969
105,0.572135,0.85256,8.36036,0.1949
106,0.560007,0.85612,8.41702,0.1928
107,0.640473,0.81688,8.53238,0.193
108,0.676038,0.79998,8.68119,0.1907
109,0.612878,0.82388,8.70805,0.1946
110,0.561379,0.8452,8.85117,0.1962
111,0.513401,0.86438,8.90889,0.1958
112,0.466648,0.8827,8.992,0.1916
113,0.441991,0.89358,9.05801,0.192
114,0.418663,0.90156,9.20603,0.1962
115,0.411268,0.90218,9.30413,0.1896
116,0.425291,0.89232,9.41021,0.1894
117,0.464845,0.87302,9.72197,0.1907
118,0.531466,0.8439,9.64306,0.1916
119,0.606352,0.8111,9.66601,0.1847
120,0.577452,0.82324,9.86255,0.1935
121,0.512305,0.8482,9.93516,0.1835
122,0.463823,0.86574,10.0023,0.1908
123,0.407429,0.88778,10.0901,0.1891
124,0.357787,0.90828,10.1431,0.1874
125,0.315847,0.92586,10.2274,0.186
126,0.293569,0.93398,10.3581,0.1864
127,0.272135,0.94106,10.5237,0.1875
128,0.246536,0.95062,10.5903,0.1868
129,0.226,0.95668,10.7188,0.185
130,0.215915,0.95988,10.8049,0.1864
131,0.201054,0.96386,10.9578,0.1833
132,0.189426,0.96784,11.0848,0.1841
133,0.178314,0.9709,11.2035,0.1856
134,0.16526,0.97442,11.404,0.1854
135,0.154338,0.97672,11.4348,0.1833
136,0.145894,0.97822,11.5702,0.1829
137,0.140154,0.98014,11.6928,0.1831
138,0.131412,0.98196,11.7943,0.1833
139,0.122863,0.9837,11.9411,0.1826
140,0.115483,0.98548,12.0294,0.1823
141,0.109066,0.98644,12.1485,0.183
142,0.103592,0.98722,12.207,0.1816
143,0.0990937,0.98806,12.3304,0.1813
144,0.0940603,0.989,12.433,0.1823
145,0.0901852,0.98958,12.5315,0.1822
146,0.0862814,0.9904,12.6222,0.1819
147,0.0825242,0.991,12.7238,0.1818
148,0.0792341,0.99164,12.8488,0.1817
149,0.075743,0.9923,12.9235,0.1803
150,0.0723936,0.99288,13.0143,0.1819
151,0.0695371,0.99328,13.0858,0.1822
152,0.0667357,0.99368,13.1696,0.182
153,0.0640972,0.99416,13.2573,0.1818
154,0.0621204,0.99444,13.3378,0.1806
155,0.060046,0.99472,13.3992,0.1816
156,0.0578177,0.99522,13.4924,0.1816
157,0.0553525,0.99554,13.5504,0.1812
158,0.0536635,0.99586,13.6361,0.182
159,0.0516989,0.99598,13.7255,0.1831
160,0.0500271,0.99594,13.7976,0.1809
161,0.0483516,0.99614,13.851,0.1812
162,0.0468207,0.99644,13.9253,0.1817
163,0.0450231,0.99666,14.0018,0.1821
164,0.043516,0.99682,14.0699,0.1814
165,0.0424832,0.9968,14.1305,0.1821
166,0.0415559,0.99698,14.1919,0.1814
167,0.0412757,0.997,14.223,0.1824
168,0.0396691,0.99724,14.2982,0.182
169,0.0382505,0.9974,14.3729,0.1821
170,0.0369822,0.99758,14.437,0.1828
171,0.0359451,0.99778,14.4824,0.1817
172,0.0350021,0.9979,14.542,0.1825
173,0.0339209,0.998,14.6052,0.1821
174,0.0330477,0.99806,14.6705,0.1818
175,0.0321644,0.99816,14.7007,0.1816
176,0.0315773,0.9982,14.7618,0.1809
177,0.0309502,0.9982,14.8113,0.1816
178,0.0300034,0.9983,14.8612,0.1815
