,accuracies,losses
267,0.602836,1.09927
268,0.603383,1.13327
269,0.604222,0.999134
270,0.604871,1.04668
271,0.605184,1.17197
272,0.606044,1.09403
273,0.606825,1.09816
274,0.607309,1.15459
275,0.608188,1.06285
276,0.608845,1.05027
277,0.609532,1.17569
278,0.61043,1.03603
279,0.611286,0.912502
280,0.612242,0.87308
281,0.613014,1.0022
282,0.613781,0.903779
283,0.614437,1.13321
284,0.615298,0.931432
285,0.615944,0.99199
286,0.616411,1.18367
287,0.616979,1.05473
288,0.617647,0.969888
289,0.618241,1.04138
290,0.618763,1.11453
291,0.619178,1.21552
292,0.619829,0.985083
293,0.620408,1.00292
294,0.621186,0.847784
295,0.621655,1.03347
296,0.622222,1.01652
297,0.62255,1.21911
298,0.622709,1.24984
299,0.623167,1.24529
300,0.623522,1.14436
301,0.623676,1.31847
302,0.624389,0.971421
303,0.624934,0.994156
304,0.625311,1.13227
305,0.625556,1.14039
306,0.626059,1.19885
307,0.626558,1.15376
308,0.626926,1.0825
309,0.627677,0.994287
310,0.628039,1.06266
311,0.62875,0.98083
312,0.629201,1.13555
313,0.62949,1.26044
314,0.629841,1.15986
315,0.630538,1.06273
316,0.630883,1.19747
317,0.631164,1.25751
318,0.631661,1.00209
319,0.632156,1.03362
320,0.632679,0.984837
321,0.633012,1.1012
322,0.633251,1.2327
323,0.633488,1.13418
324,0.633508,1.17949
325,0.633896,1.09673
326,0.634342,0.97822
327,0.634909,1.03336
328,0.63541,0.908811
329,0.635909,0.950824
330,0.636375,1.04524
331,0.637078,0.945837
332,0.637507,1.01124
333,0.637725,1.08049
334,0.638209,0.971114
335,0.63878,0.979031
336,0.639436,0.922925
337,0.640148,0.901558
338,0.640826,0.766318
339,0.641588,0.867835
340,0.641994,1.08462
341,0.642749,0.922673
342,0.643499,0.840218
343,0.644012,0.944615
344,0.644348,0.989692
345,0.644711,1.0009
346,0.645245,0.978841
347,0.64569,1.03168
348,0.645903,1.16957
349,0.646371,0.982941
350,0.647009,0.906613
351,0.64733,1.025
352,0.647875,0.992141
353,0.648362,0.920318
354,0.648817,0.946185
355,0.649326,0.91494
356,0.649524,1.08989
357,0.649972,0.895744
358,0.650557,0.912213
359,0.651,1.03864
360,0.651274,1.1645
361,0.651713,0.897108
362,0.652231,0.801019
363,0.652637,0.927868
364,0.652904,1.11965
365,0.653443,0.820023
366,0.654142,0.775146
367,0.654647,0.807948
368,0.655014,0.975218
369,0.655622,0.859978
370,0.656065,0.925832
371,0.656559,0.912745
372,0.65689,0.930504
373,0.657219,1.01675
374,0.65736,1.08242
375,0.657606,1.00544
376,0.658037,0.902739
377,0.65836,0.929468
378,0.65876,0.98217
379,0.659158,0.915778
380,0.65958,0.99995
381,0.660052,0.842098
382,0.66047,0.96064
383,0.660703,1.02973
384,0.661247,0.793552
385,0.661503,1.0106
386,0.66168,1.00718
387,0.662139,0.853791
388,0.662674,0.818129
389,0.663231,0.771353
390,0.663734,0.747264
391,0.664337,0.755548
392,0.664835,0.833586
393,0.665178,1.01881
394,0.665316,1.05773
395,0.66553,0.94117
396,0.665945,0.970405
397,0.666231,1.0969
398,0.666441,0.996316
399,0.666675,1.00366
400,0.667107,0.845369
401,0.667612,0.853181
402,0.668065,0.866649
403,0.668515,0.86787
404,0.668716,0.945592
405,0.66899,0.987332
406,0.669287,0.85336
407,0.669657,0.921692
408,0.670196,0.752769
409,0.670634,0.788604
410,0.670779,0.994656
411,0.671092,0.944811
412,0.671332,0.980673
413,0.671473,1.14044
414,0.671639,1.11357
415,0.671731,1.09393
416,0.67211,0.904826
417,0.672321,1.05957
418,0.672768,0.855137
419,0.673119,0.906574
420,0.673468,0.799344
421,0.673673,1.02689
422,0.673806,1.03857
423,0.673797,1.09119
424,0.674118,0.961888
425,0.674507,0.862348
426,0.674824,0.838138
427,0.675234,0.815017
428,0.675548,0.867201
429,0.675674,0.986547
430,0.675661,1.11094
431,0.676111,0.835407
432,0.676467,0.819159
433,0.677028,0.699646
434,0.67754,0.716466
435,0.677844,0.849355
436,0.67833,0.773614
437,0.678744,0.838689
438,0.679043,0.891117
439,0.679364,0.918627
440,0.679728,0.897715
441,0.679819,1.03748
442,0.67991,0.996094
443,0.680045,1.01279
444,0.680494,0.852373
445,0.680987,0.6874
446,0.681454,0.770902
447,0.681696,0.883299
448,0.681915,0.973879
449,0.682089,0.855809
450,0.682173,0.966013
451,0.682456,0.90375
452,0.682826,0.770293
453,0.683326,0.725189
454,0.683517,1.03672
455,0.683772,0.835
456,0.68407,0.861566
457,0.68441,0.841733
458,0.684641,1.01141
459,0.684957,0.913597
460,0.685076,0.996164
461,0.685368,0.867872
462,0.685572,0.925457
463,0.685711,0.989047
464,0.686,0.85468
465,0.686438,0.741071
466,0.686788,0.781381
467,0.687201,0.746562
468,0.687548,0.763549
469,0.687872,0.730025
470,0.688153,0.776769
471,0.688581,0.77631
472,0.688901,0.92145
473,0.689072,0.942709
474,0.689242,0.93551
475,0.689664,0.815274
476,0.689832,0.905427
477,0.690126,0.777366
478,0.690543,0.709728
479,0.690729,0.925347
480,0.691081,0.734746
481,0.691535,0.601877
482,0.691863,0.671555
483,0.692149,0.834983
484,0.692495,0.645205
485,0.692819,0.764248
486,0.693183,0.733616
487,0.693545,0.691106
488,0.693865,0.71552
489,0.693959,1.02595
490,0.694073,1.04988
491,0.694146,0.901906
492,0.694381,0.859497
493,0.694757,0.665414
494,0.694848,0.929646
495,0.694798,1.20701
496,0.69499,0.933789
497,0.695301,0.835836
498,0.695391,0.957462
499,0.69562,0.912825
500,0.695848,0.865785
501,0.696175,0.700622
502,0.696421,0.832453
503,0.696587,0.990315
504,0.696832,0.971525
505,0.696957,0.88077
506,0.69716,0.84806
507,0.697362,0.863977
508,0.697544,0.786913
509,0.697961,0.646285
510,0.698415,0.683253
511,0.698633,0.808196
512,0.698713,0.887186
513,0.698911,0.80593
514,0.699301,0.644059
515,0.699651,0.673533
516,0.699961,0.774759
517,0.700347,0.821613
518,0.700674,0.746327
519,0.700923,0.79245
520,0.70119,0.860186
521,0.701092,1.08098
522,0.701243,0.923734
523,0.701546,0.753553
524,0.701905,0.603292
525,0.702281,0.567207
526,0.702562,0.780545
527,0.702689,0.941537
528,0.702836,0.901812
529,0.703,0.917122
530,0.703183,0.76077
531,0.70344,0.805975
532,0.703659,0.815059
533,0.704008,0.617644
534,0.70428,0.743945
535,0.704403,0.898224
536,0.704637,0.783853
537,0.704981,0.698025
538,0.705213,0.728561
539,0.705407,0.920896
540,0.705564,0.953372
541,0.705775,0.736529
542,0.706151,0.72369
543,0.706415,0.716913
544,0.706569,0.731428
545,0.706703,0.779526
546,0.70713,0.591757
547,0.707409,0.686965
548,0.707668,0.81653
549,0.707709,1.07692
550,0.70804,0.677049
551,0.708351,0.664658
552,0.708716,0.679185
553,0.708953,0.742448
554,0.709243,0.766458
555,0.709568,0.692591
556,0.709874,0.686803
557,0.710143,0.689591
558,0.71034,0.739923
559,0.710768,0.571642
560,0.711052,0.736136
561,0.711281,0.676627
562,0.711492,0.805202
563,0.711649,0.828904
564,0.711858,0.815413
565,0.712155,0.645469
566,0.712346,0.772513
567,0.712676,0.613673
568,0.712882,0.713447
569,0.713211,0.670667
570,0.71338,0.844018
571,0.713724,0.696408
572,0.713839,0.83586
573,0.714042,0.785918
574,0.714261,0.784116
575,0.714462,0.790919
576,0.714697,0.79118
577,0.714862,0.854084
578,0.715095,0.720415
579,0.715379,0.682394
580,0.715645,0.705198
581,0.715945,0.664922
582,0.716364,0.518935
583,0.716592,0.703012
584,0.716803,0.675031
585,0.717065,0.657121
586,0.717394,0.704759
587,0.717721,0.671754
588,0.718064,0.587
589,0.718508,0.425846
590,0.718883,0.498693
591,0.719257,0.494984
592,0.719511,0.637315
593,0.719781,0.727973
594,0.720084,0.559009
595,0.720503,0.502512
596,0.720838,0.624727
597,0.72092,0.853871
598,0.721319,0.382968
599,0.721383,0.905004
600,0.87,0.726793
601,0.82,0.838614
602,0.833333,0.703731
603,0.8525,0.568472
604,0.846,0.751873
605,0.831667,0.89996
606,0.821429,0.894673
607,0.82875,0.687553
608,0.827778,0.811613
609,0.828,0.835172
610,0.822727,0.949042
611,0.824167,0.839539
612,0.824615,0.785673
613,0.823571,0.745162
614,0.824667,0.724296
615,0.824375,0.824748
616,0.827059,0.678286
617,0.832222,0.592464
618,0.833158,0.674857
619,0.8335,0.658245
620,0.833333,0.703774
621,0.837273,0.535822
622,0.837826,0.646203
623,0.838333,0.72139
624,0.8372,0.804258
625,0.837308,0.662202
626,0.838148,0.677126
627,0.836786,0.731553
628,0.838276,0.613711
629,0.838333,0.725848
630,0.836774,0.871605
631,0.83875,0.695081
632,0.838788,0.739972
633,0.839706,0.746749
634,0.84,0.731379
635,0.839444,0.804231
636,0.839189,0.667577
637,0.839737,0.715734
638,0.840513,0.675323
639,0.8415,0.687272
640,0.841951,0.686586
641,0.841905,0.762063
642,0.842791,0.651891
643,0.842727,0.755125
644,0.843111,0.699175
645,0.845,0.518871
646,0.84234,0.717415
647,0.843333,0.707168
648,0.842857,0.708013
649,0.8438,0.698084
650,0.84451,0.705371
651,0.842885,0.864131
652,0.843774,0.625979
653,0.842593,0.734981
654,0.843091,0.567612
655,0.843393,0.674343
656,0.843158,0.71445
657,0.842931,0.736858
658,0.842373,0.747779
659,0.843333,0.659074
660,0.84459,0.549079
661,0.845323,0.587431
662,0.845079,0.653739
663,0.845469,0.653217
664,0.845538,0.719591
665,0.846212,0.503369
666,0.846567,0.6266
667,0.846471,0.677591
668,0.846377,0.836264
669,0.845286,0.761727
670,0.84493,0.754677
671,0.845139,0.747638
672,0.843973,1.0085
673,0.843513,0.913609
674,0.842533,0.741109
675,0.841579,0.74487
676,0.841688,0.786357
677,0.841282,0.827418
678,0.841519,0.725629
679,0.841125,0.765028
680,0.841482,0.623884
681,0.840976,0.808924
682,0.840241,0.924482
683,0.840714,0.677935
684,0.840706,0.788703
685,0.841163,0.569077
686,0.840115,0.832265
687,0.839205,0.978357
688,0.838427,0.965608
689,0.838444,0.643407
690,0.839231,0.589201
691,0.839891,0.656214
692,0.839785,0.742198
693,0.839043,0.720784
694,0.839474,0.654395
695,0.839271,0.713314
696,0.839691,0.621229
697,0.83949,0.677444
698,0.839899,0.594469
699,0.84,0.582893
700,0.84,0.667343
701,0.840392,0.679117
702,0.839806,0.740674
703,0.840769,0.459815
704,0.841143,0.569165
705,0.841604,0.589766
706,0.842243,0.619005
707,0.84213,0.778603
708,0.842294,0.584739
709,0.842455,0.645872
710,0.843153,0.527786
711,0.843304,0.680279
712,0.843451,0.718091
713,0.843421,0.623228
714,0.843739,0.591452
715,0.843017,0.854176
716,0.842564,0.810226
717,0.84178,0.91849
718,0.841765,0.694424
719,0.842167,0.696763
720,0.842149,0.665567
721,0.842295,0.649975
722,0.842195,0.679179
723,0.841935,0.802702
724,0.84152,0.744404
725,0.841349,0.779639
726,0.840866,0.877157
727,0.840937,0.686334
728,0.841008,0.638256
729,0.840615,0.813826
730,0.839695,0.915175
731,0.839167,0.81388
732,0.839098,0.673967
733,0.838806,0.775512
734,0.839259,0.538553
735,0.839706,0.492056
736,0.83927,0.803456
737,0.839058,0.772349
738,0.838993,0.739932
739,0.838071,0.895996
740,0.838085,0.683819
741,0.837958,0.772392
742,0.837413,0.799099
743,0.836597,0.923231
744,0.836897,0.649698
745,0.836575,0.829545
746,0.83585,0.986401
747,0.835,1.00442
748,0.835034,0.727475
749,0.835,0.63726
750,0.835497,0.545841
751,0.835329,0.802926
752,0.835425,0.645215
753,0.835714,0.649455
754,0.835742,0.660721
755,0.835705,0.664058
756,0.836242,0.607456
757,0.83557,0.943618
758,0.834843,0.89972
759,0.834875,0.709819
760,0.83441,0.821111
761,0.833951,0.700411
762,0.833804,0.659226
763,0.833841,0.608492
764,0.834182,0.596369
765,0.834337,0.595931
766,0.834491,0.689386
767,0.834405,0.770749
768,0.834201,0.794655
769,0.833824,0.843637
770,0.833567,0.801719
771,0.833721,0.671762
772,0.833584,0.779305
773,0.833851,0.603169
774,0.833771,0.729814
775,0.833125,0.947969
776,0.832825,0.882843
