,accuracies,losses
262,0.125019,2.29249
263,0.125,2.29929
264,0.125208,2.29863
265,0.125113,2.30105
266,0.125393,2.29724
267,0.125373,2.29865
268,0.125428,2.30281
269,0.125556,2.30306
270,0.125756,2.29503
271,0.125588,2.30167
272,0.125568,2.29934
273,0.125474,2.3018
274,0.125527,2.29777
275,0.12558,2.29679
276,0.125776,2.30185
277,0.125971,2.29778
278,0.126022,2.29989
279,0.126143,2.29794
280,0.126263,2.29915
281,0.126383,2.29997
282,0.12636,2.30239
283,,
