,loss,accuracy,val_loss,val_accuracy
126,0.29171,0.92966,2.25232,0.5246
127,0.287966,0.9309,2.26601,0.524
128,0.284268,0.9323,2.27992,0.5237
129,0.280593,0.93374,2.29407,0.5229
130,0.27696,0.93478,2.30801,0.5225
131,0.273352,0.93588,2.32224,0.5224
132,0.269783,0.93744,2.33692,0.5218
133,0.266239,0.93868,2.35119,0.5221
134,0.262755,0.93998,2.36544,0.5219
135,0.2593,0.9412,2.37992,0.522
136,0.255877,0.94242,2.39441,0.5216
137,0.252501,0.94372,2.40886,0.5213
138,0.24914,0.9448,2.42317,0.5222
139,0.245823,0.94602,2.43774,0.521
140,0.242534,0.94704,2.45187,0.521
141,0.239282,0.9482,2.46643,0.5213
142,0.236086,0.9496,2.48088,0.5216
143,0.232883,0.95066,2.49532,0.5213
144,0.22974,0.9518,2.51004,0.5211
145,0.226626,0.9529,2.52445,0.5212
146,0.223537,0.95392,2.53916,0.5211
147,0.220489,0.95512,2.55353,0.5212
148,0.217497,0.95618,2.56804,0.5218
149,0.214531,0.95752,2.58256,0.5223
150,0.211566,0.9589,2.59675,0.5224
151,0.208667,0.95998,2.61145,0.522
152,0.205809,0.96068,2.62579,0.5212
153,0.202949,0.9617,2.64062,0.5215
154,0.200134,0.96258,2.65527,0.5219
155,0.197352,0.9634,2.66986,0.5215
156,0.194603,0.96426,2.68437,0.521
157,0.191892,0.96532,2.69874,0.5208
158,0.189209,0.96604,2.71341,0.5207
159,0.186549,0.96726,2.72806,0.5206
160,0.183927,0.9681,2.74259,0.5201
161,0.181338,0.96882,2.75699,0.5201
162,0.178781,0.9697,2.77146,0.52
163,0.176249,0.97056,2.78601,0.5198
164,0.173766,0.97134,2.8003,0.5202
165,0.171308,0.97208,2.8147,0.5198
166,0.168878,0.97288,2.82906,0.5191
167,0.166485,0.97366,2.8435,0.5191
168,0.164127,0.9744,2.85797,0.5189
169,0.161782,0.97524,2.8724,0.5184
170,0.159481,0.97594,2.88669,0.5179
171,0.157204,0.9767,2.90103,0.5182
172,0.154955,0.97712,2.9153,0.5185
173,0.152748,0.97778,2.92953,0.5181
174,0.150573,0.97846,2.94379,0.5175
175,0.148424,0.97912,2.95807,0.5174
176,0.146292,0.97986,2.97217,0.5169
177,0.144203,0.98054,2.98626,0.5168
178,0.142131,0.98102,3.0002,0.5166
179,0.140093,0.98164,3.01424,0.5161
180,0.138083,0.98226,3.02823,0.516
181,0.136103,0.98278,3.04224,0.5149
182,0.134152,0.98334,3.05624,0.5148
183,0.132227,0.98368,3.07024,0.5147
184,0.130327,0.98428,3.0842,0.5148
185,0.128467,0.98476,3.09804,0.5147
186,0.12663,0.98516,3.11182,0.5147
187,0.124805,0.98572,3.12564,0.5144
188,0.123014,0.98618,3.13939,0.5144
189,0.121256,0.98658,3.15293,0.5143
190,0.119531,0.98692,3.1665,0.5138
191,0.117827,0.98766,3.18003,0.5141
192,0.116149,0.98814,3.19357,0.5139
193,0.114506,0.98844,3.20671,0.5137
194,0.112878,0.98886,3.22013,0.5134
195,0.11128,0.98918,3.23347,0.5135
196,0.109707,0.9896,3.24657,0.5136
197,0.108156,0.98996,3.25983,0.5132
198,0.106626,0.99028,3.27292,0.5128
199,0.105127,0.99052,3.28602,0.5119
200,0.10365,0.99094,3.29894,0.512
201,0.1022,0.99124,3.31186,0.5119
202,0.100766,0.99144,3.32488,0.5114
203,0.099356,0.99164,3.33792,0.5114
204,0.0979673,0.99182,3.35065,0.5113
205,0.0966012,0.99208,3.36331,0.5117
206,0.0952538,0.99234,3.37607,0.5115
207,0.0939329,0.99262,3.38873,0.5114
208,0.0926288,0.99276,3.40132,0.5114
